Grade,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
FY1,21052,21862,22190,22412,22412,22412,22636,22636,22636,22862,26614,27146,27689,28243,28808,29384
FY2,26270,27116,27523,27798,27798,27798,28076,28076,28076,28357,30805,31422,32050,32691,33345,34012
CT1,28118,28976,29411,29705,29705,29705,30002,30002,30002,30302,36461,37191,37935,38694,39467,40257
CT2,29879,30749,31211,31523,31523,31523,31838,31838,31838,32156,36461,37191,37935,38694,39467,40257
CT3,32338,33226,33724,34061,34061,34061,34402,34402,34402,34746,46208,47132,48075,49036,50017,51017
ST4,33825,34723,35244,35596,35596,35596,35952,35952,35952,36312,46208,47132,48075,49036,50017,51017
ST5,35619,36529,37077,37448,37448,37448,37822,37822,37822,38200,46208,47132,48075,49036,50017,51017
ST6,37413,38336,38911,39300,39300,39300,39693,39693,39693,40090,46208,47132,48075,49036,53077,58398
ST7,39207,40143,40745,41152,41152,41152,41564,41564,41564,41979,46208,47132,48075,49036,53077,58398
ST8,41001,41948,42578,43003,43003,43003,43434,43434,43434,43868,46208,47132,48075,49036,53077,58398